Date,Word,% Monitored Articles
4/6/21,military exercise,0.0561
4/7/21,military exercise,0.0576
4/8/21,military exercise,0.0561
4/9/21,military exercise,0.0392
4/10/21,military exercise,0.0526
4/11/21,military exercise,0.0615
4/12/21,military exercise,0.0597
4/13/21,military exercise,0.0856
4/14/21,military exercise,0.08
4/15/21,military exercise,0.0739
4/16/21,military exercise,0.0606
4/17/21,military exercise,0.1114
4/18/21,military exercise,0.07
4/19/21,military exercise,0.0481
4/20/21,military exercise,0.0845
4/21/21,military exercise,0.0488
4/22/21,military exercise,0.1744
4/23/21,military exercise,0.113
4/24/21,military exercise,0.1075
4/25/21,military exercise,0.0776
4/26/21,military exercise,0.0392
4/27/21,military exercise,0.032
4/28/21,military exercise,0.0269
4/29/21,military exercise,0.0285
4/30/21,military exercise,0.0253
5/1/21,military exercise,0.0188
5/2/21,military exercise,0.0172
5/3/21,military exercise,0.0226
5/4/21,military exercise,0.0232
5/5/21,military exercise,0.0281
5/6/21,military exercise,0.1004
5/7/21,military exercise,0.0307
5/8/21,military exercise,0.0474
5/9/21,military exercise,0.1235
5/10/21,military exercise,0.021
5/11/21,military exercise,0.0219
5/12/21,military exercise,0.0173
5/13/21,military exercise,0.0217
5/14/21,military exercise,0.0201
5/15/21,military exercise,0.0205
5/16/21,military exercise,0.0309
5/17/21,military exercise,0.0243
5/18/21,military exercise,0.028
5/19/21,military exercise,0.0214
5/20/21,military exercise,0.0451
5/21/21,military exercise,0.0262
5/22/21,military exercise,0.0344
5/23/21,military exercise,0.0314
5/24/21,military exercise,0.0246
5/25/21,military exercise,0.0143
5/26/21,military exercise,0.0181
5/27/21,military exercise,0.0236
5/28/21,military exercise,0.0639
5/29/21,military exercise,0.0335
5/30/21,military exercise,0.0174
5/31/21,military exercise,0.0719
6/1/21,military exercise,0.0441
6/2/21,military exercise,0.0543
6/3/21,military exercise,0.0207
6/4/21,military exercise,0.0157
6/5/21,military exercise,0.0207
6/6/21,military exercise,0.0421
6/7/21,military exercise,0.0248
6/8/21,military exercise,0.0389
6/9/21,military exercise,0.0272
6/10/21,military exercise,0.0268
6/11/21,military exercise,0.0327
6/12/21,military exercise,0.031
6/13/21,military exercise,0.0281
6/14/21,military exercise,0.0693
6/15/21,military exercise,0.044
6/16/21,military exercise,0.0483
6/17/21,military exercise,0.0288
6/18/21,military exercise,0.0278
6/19/21,military exercise,0.0261
6/20/21,military exercise,0.0274
6/21/21,military exercise,0.0251
6/22/21,military exercise,0.0233
6/23/21,military exercise,0.1633
6/24/21,military exercise,0.0652
6/25/21,military exercise,0.0445
6/26/21,military exercise,0.0897
6/27/21,military exercise,0.0711
6/28/21,military exercise,0.0905
6/29/21,military exercise,0.0671
6/30/21,military exercise,0.0714
7/1/21,military exercise,0.0413
7/2/21,military exercise,0.0628
7/3/21,military exercise,0.0911
7/4/21,military exercise,0.0767
7/5/21,military exercise,0.041
7/6/21,military exercise,0.0465
7/7/21,military exercise,0.0355
7/8/21,military exercise,0.0337
7/9/21,military exercise,0.0217
7/10/21,military exercise,0.0584
7/11/21,military exercise,0.027
7/12/21,military exercise,0.0281
7/13/21,military exercise,0.0243
7/14/21,military exercise,0.0156
7/15/21,military exercise,0.0133
7/16/21,military exercise,0.0144
7/17/21,military exercise,0.0138
7/18/21,military exercise,0.0173
7/19/21,military exercise,0.0287
7/20/21,military exercise,0.0352
7/21/21,military exercise,0.0303
7/22/21,military exercise,0.0456
7/23/21,military exercise,0.021
7/24/21,military exercise,0.0468
7/25/21,military exercise,0.0252
7/26/21,military exercise,0.0344
7/27/21,military exercise,0.0296
7/28/21,military exercise,0.04
7/29/21,military exercise,0.0305
7/30/21,military exercise,0.0407
7/31/21,military exercise,0.0295
8/1/21,military exercise,0.0232
8/2/21,military exercise,0.0436
8/3/21,military exercise,0.0186
8/4/21,military exercise,0.0272
8/5/21,military exercise,0.0615
8/6/21,military exercise,0.0475
8/7/21,military exercise,0.0276
8/8/21,military exercise,0.0515
8/9/21,military exercise,0.0601
8/10/21,military exercise,0.0921
8/11/21,military exercise,0.0466
8/12/21,military exercise,0.0341
8/13/21,military exercise,0.0303
8/14/21,military exercise,0.0365
