Country Code,Tone,Month,Day,Year,Date,Lat,Lon,Country,Distance
GM,-4.0533,08,18,2021,08/18/2021,51.17,10.45,Germany,1411
GM,-1.2241,08,19,2021,08/19/2021,51.17,10.45,Germany,1411
GM,-3.1369,08,20,2021,08/20/2021,51.17,10.45,Germany,1411
GM,-1.6181,08,21,2021,08/21/2021,51.17,10.45,Germany,1411
GM,-2.0247,08,22,2021,08/22/2021,51.17,10.45,Germany,1411
GM,-2.5024,08,23,2021,08/23/2021,51.17,10.45,Germany,1411
GM,-1.1557,08,24,2021,08/24/2021,51.17,10.45,Germany,1411
GM,-1.2278,08,25,2021,08/25/2021,51.17,10.45,Germany,1411
GM,-0.4894,08,26,2021,08/26/2021,51.17,10.45,Germany,1411
GM,-1.2031,08,27,2021,08/27/2021,51.17,10.45,Germany,1411
GM,-2.4399,08,28,2021,08/28/2021,51.17,10.45,Germany,1411
GM,-2.5007,08,29,2021,08/29/2021,51.17,10.45,Germany,1411
GM,-1.3069,08,30,2021,08/30/2021,51.17,10.45,Germany,1411
GM,-1.5868,08,31,2021,08/31/2021,51.17,10.45,Germany,1411
GM,-1.2188,09,01,2021,09/01/2021,51.17,10.45,Germany,1411
GM,-2.4071,09,02,2021,09/02/2021,51.17,10.45,Germany,1411
GM,-1.0105,09,03,2021,09/03/2021,51.17,10.45,Germany,1411
GM,-1.4605,09,04,2021,09/04/2021,51.17,10.45,Germany,1411
GM,-1.9865,09,05,2021,09/05/2021,51.17,10.45,Germany,1411
GM,-2.2797,09,06,2021,09/06/2021,51.17,10.45,Germany,1411
GM,-2.7379,09,07,2021,09/07/2021,51.17,10.45,Germany,1411
GM,-2.2232,09,08,2021,09/08/2021,51.17,10.45,Germany,1411
GM,-1.7685,09,09,2021,09/09/2021,51.17,10.45,Germany,1411
GM,-2.1554,09,10,2021,09/10/2021,51.17,10.45,Germany,1411
GM,-2.2511,09,11,2021,09/11/2021,51.17,10.45,Germany,1411
GM,-1.9227,09,12,2021,09/12/2021,51.17,10.45,Germany,1411
GM,-1.3261,09,13,2021,09/13/2021,51.17,10.45,Germany,1411
GM,-1.5459,09,14,2021,09/14/2021,51.17,10.45,Germany,1411
GM,-1.1421,09,15,2021,09/15/2021,51.17,10.45,Germany,1411
GM,-1.5934,09,16,2021,09/16/2021,51.17,10.45,Germany,1411
GM,-1.5393,09,17,2021,09/17/2021,51.17,10.45,Germany,1411
GM,-1.7897,09,18,2021,09/18/2021,51.17,10.45,Germany,1411
GM,-2.3084,09,19,2021,09/19/2021,51.17,10.45,Germany,1411
GM,-1.7347,09,20,2021,09/20/2021,51.17,10.45,Germany,1411
GM,-2.5285,09,21,2021,09/21/2021,51.17,10.45,Germany,1411
GM,-2.728,09,22,2021,09/22/2021,51.17,10.45,Germany,1411
GM,-2.1568,09,23,2021,09/23/2021,51.17,10.45,Germany,1411
GM,-1.5892,09,24,2021,09/24/2021,51.17,10.45,Germany,1411
GM,-0.9037,09,25,2021,09/25/2021,51.17,10.45,Germany,1411
GM,-0.7635,09,26,2021,09/26/2021,51.17,10.45,Germany,1411
GM,-1.5574,09,27,2021,09/27/2021,51.17,10.45,Germany,1411
GM,-0.456,09,28,2021,09/28/2021,51.17,10.45,Germany,1411
GM,-2.0601,09,29,2021,09/29/2021,51.17,10.45,Germany,1411
GM,-2.8959,09,30,2021,09/30/2021,51.17,10.45,Germany,1411
GM,-1.731,10,01,2021,10/01/2021,51.17,10.45,Germany,1411
GM,-1.3477,10,02,2021,10/02/2021,51.17,10.45,Germany,1411
GM,-1.6602,10,03,2021,10/03/2021,51.17,10.45,Germany,1411
GM,-1.733,10,04,2021,10/04/2021,51.17,10.45,Germany,1411
GM,-1.5732,10,05,2021,10/05/2021,51.17,10.45,Germany,1411
GM,-3.6998,10,06,2021,10/06/2021,51.17,10.45,Germany,1411
GM,-2.1535,10,07,2021,10/07/2021,51.17,10.45,Germany,1411
GM,-1.989,10,08,2021,10/08/2021,51.17,10.45,Germany,1411
GM,-3.1993,10,09,2021,10/09/2021,51.17,10.45,Germany,1411
GM,-2.4573,10,10,2021,10/10/2021,51.17,10.45,Germany,1411
GM,-2.3112,10,11,2021,10/11/2021,51.17,10.45,Germany,1411
GM,-1.2698,10,12,2021,10/12/2021,51.17,10.45,Germany,1411
GM,-1.7565,10,13,2021,10/13/2021,51.17,10.45,Germany,1411
GM,-1.7256,10,14,2021,10/14/2021,51.17,10.45,Germany,1411
GM,-0.8655,10,15,2021,10/15/2021,51.17,10.45,Germany,1411
GM,-2.1302,10,16,2021,10/16/2021,51.17,10.45,Germany,1411
GM,-2.3378,10,17,2021,10/17/2021,51.17,10.45,Germany,1411
GM,-1.724,10,18,2021,10/18/2021,51.17,10.45,Germany,1411
GM,-1.9703,10,19,2021,10/19/2021,51.17,10.45,Germany,1411
GM,-1.0535,10,20,2021,10/20/2021,51.17,10.45,Germany,1411
GM,-1.7422,10,21,2021,10/21/2021,51.17,10.45,Germany,1411
GM,-2.6092,10,22,2021,10/22/2021,51.17,10.45,Germany,1411
GM,-2.6358,10,23,2021,10/23/2021,51.17,10.45,Germany,1411
GM,-2.7032,10,24,2021,10/24/2021,51.17,10.45,Germany,1411
GM,-1.1698,10,25,2021,10/25/2021,51.17,10.45,Germany,1411
GM,-1.4824,10,26,2021,10/26/2021,51.17,10.45,Germany,1411
GM,-2.5141,10,27,2021,10/27/2021,51.17,10.45,Germany,1411
GM,-2.5073,10,28,2021,10/28/2021,51.17,10.45,Germany,1411
GM,-3.7632,10,29,2021,10/29/2021,51.17,10.45,Germany,1411
GM,-2.2313,10,30,2021,10/30/2021,51.17,10.45,Germany,1411
GM,-1.3852,10,31,2021,10/31/2021,51.17,10.45,Germany,1411
GM,-2.1918,11,01,2021,11/01/2021,51.17,10.45,Germany,1411
GM,-2.5442,11,02,2021,11/02/2021,51.17,10.45,Germany,1411
GM,-2.2916,11,03,2021,11/03/2021,51.17,10.45,Germany,1411
GM,-1.1558,11,04,2021,11/04/2021,51.17,10.45,Germany,1411
GM,-2.4084,11,05,2021,11/05/2021,51.17,10.45,Germany,1411
GM,-2.6715,11,06,2021,11/06/2021,51.17,10.45,Germany,1411
GM,-1.5417,11,07,2021,11/07/2021,51.17,10.45,Germany,1411
GM,-3.0339,11,08,2021,11/08/2021,51.17,10.45,Germany,1411
GM,-3.283,11,09,2021,11/09/2021,51.17,10.45,Germany,1411
GM,-2.9897,11,10,2021,11/10/2021,51.17,10.45,Germany,1411
GM,-3.6384,11,11,2021,11/11/2021,51.17,10.45,Germany,1411
GM,-3.6427,11,12,2021,11/12/2021,51.17,10.45,Germany,1411
GM,-3.1127,11,13,2021,11/13/2021,51.17,10.45,Germany,1411
GM,-4.5221,11,14,2021,11/14/2021,51.17,10.45,Germany,1411
GM,-3.9458,11,15,2021,11/15/2021,51.17,10.45,Germany,1411
GM,-2.2021,11,16,2021,11/16/2021,51.17,10.45,Germany,1411
GM,-2.1478,11,17,2021,11/17/2021,51.17,10.45,Germany,1411
GM,-3.107,11,18,2021,11/18/2021,51.17,10.45,Germany,1411
GM,-2.4366,11,19,2021,11/19/2021,51.17,10.45,Germany,1411
GM,-2.3433,11,20,2021,11/20/2021,51.17,10.45,Germany,1411
GM,-3.1404,11,21,2021,11/21/2021,51.17,10.45,Germany,1411
GM,-2.8915,11,22,2021,11/22/2021,51.17,10.45,Germany,1411
GM,-2.7292,11,23,2021,11/23/2021,51.17,10.45,Germany,1411
GM,-2.0078,11,24,2021,11/24/2021,51.17,10.45,Germany,1411
GM,-1.4877,11,25,2021,11/25/2021,51.17,10.45,Germany,1411
GM,-2.6779,11,26,2021,11/26/2021,51.17,10.45,Germany,1411
GM,-3.7465,11,27,2021,11/27/2021,51.17,10.45,Germany,1411
GM,-2.8618,11,28,2021,11/28/2021,51.17,10.45,Germany,1411
GM,-2.7988,11,29,2021,11/29/2021,51.17,10.45,Germany,1411
GM,-3.2021,11,30,2021,11/30/2021,51.17,10.45,Germany,1411
GM,-2.0537,12,01,2021,12/01/2021,51.17,10.45,Germany,1411
GM,-2.964,12,02,2021,12/02/2021,51.17,10.45,Germany,1411
GM,-2.4778,12,03,2021,12/03/2021,51.17,10.45,Germany,1411
GM,-3.0019,12,04,2021,12/04/2021,51.17,10.45,Germany,1411
GM,-3.5455,12,05,2021,12/05/2021,51.17,10.45,Germany,1411
GM,-1.8671,12,06,2021,12/06/2021,51.17,10.45,Germany,1411
GM,-2.2293,12,07,2021,12/07/2021,51.17,10.45,Germany,1411
GM,-1.5325,12,08,2021,12/08/2021,51.17,10.45,Germany,1411
GM,-1.7007,12,09,2021,12/09/2021,51.17,10.45,Germany,1411
GM,-1.2773,12,10,2021,12/10/2021,51.17,10.45,Germany,1411
GM,-0.6554,12,11,2021,12/11/2021,51.17,10.45,Germany,1411
GM,-1.4878,12,12,2021,12/12/2021,51.17,10.45,Germany,1411
GM,-3.3091,12,13,2021,12/13/2021,51.17,10.45,Germany,1411
GM,-2.5082,12,14,2021,12/14/2021,51.17,10.45,Germany,1411
GM,-3.8227,12,15,2021,12/15/2021,51.17,10.45,Germany,1411
GM,-3.2676,12,16,2021,12/16/2021,51.17,10.45,Germany,1411
GM,-3.419,12,17,2021,12/17/2021,51.17,10.45,Germany,1411
GM,-3.1277,12,18,2021,12/18/2021,51.17,10.45,Germany,1411
GM,-2.4237,12,19,2021,12/19/2021,51.17,10.45,Germany,1411
GM,-2.9128,12,20,2021,12/20/2021,51.17,10.45,Germany,1411
GM,-2.8608,12,21,2021,12/21/2021,51.17,10.45,Germany,1411
GM,-4.7346,12,22,2021,12/22/2021,51.17,10.45,Germany,1411
GM,-2.8451,12,23,2021,12/23/2021,51.17,10.45,Germany,1411
GM,-1.8136,12,24,2021,12/24/2021,51.17,10.45,Germany,1411
GM,-3.5831,12,25,2021,12/25/2021,51.17,10.45,Germany,1411
GM,-2.6035,12,26,2021,12/26/2021,51.17,10.45,Germany,1411
GM,-2.7274,12,27,2021,12/27/2021,51.17,10.45,Germany,1411
GM,-2.4461,12,28,2021,12/28/2021,51.17,10.45,Germany,1411
GM,-1.6393,12,29,2021,12/29/2021,51.17,10.45,Germany,1411
GM,-2.2348,12,30,2021,12/30/2021,51.17,10.45,Germany,1411
GM,-2.3462,12,31,2021,12/31/2021,51.17,10.45,Germany,1411
